ATC_code	pvals	name	group	HR	HR_l	HR_u	p.adj.FDR	N.pd	N.nonpd	direction_change	pvals_male	pvals_female	HR_male	HR_female	HR_l_male	HR_l_female	HR_u_male	HR_u_female	p.adj.FDR_male	p.adj.FDR_female
A02	1.2999285823940937e-6	Drugs For Acid Related Disorders	A	1.0953169131766185	1.0556679276339442	1.1364550431873703	2.3824371464606017e-5	3796	892450	increase	2.6700158140650275e-4	0.00172698002979354	1.0950693109867178	1.094113128217006	1.0428828524239138	1.0342601599677084	1.1498672099917508	1.157429806997669	0.00589240364408744	0.03481624739151457
C09	1.2783084493981836e-6	Agents Acting On The Renin-Angiotensin System	C	0.9208166301177224	0.8905828057315595	0.9520768432137624	2.3824371464606017e-5	5675	964289	decrease	1.3659281750655038e-6	0.06936377462269125	0.89934679982628	0.9521927609830376	0.8614518114774528	0.9031579358989597	0.9389087765345546	1.0038898159778045	3.6173269599016655e-5	0.7990782573741352
S03	1.76631521240797e-5	Ophthalmological And Otological Preparations	S	0.8341077021293776	0.7678076467025804	0.9061327556966258	3.0964567121023826e-4	584	175782	decrease	0.00151882910069051	0.00388290257859829	0.8385730197055707	0.8284793014039583	0.7521131385530989	0.7291446187069273	0.9349719787250778	0.94134679903696	0.02873034067709791	0.07116368902592304
M01	6.747340825778256e-5	Antiinflammatory And Antirheumatic Products	M	1.066056129172991	1.0330395064478732	1.100127984896817	0.00113356400273123	8179	2015797	increase	0.09752297910443432	2.312301795947088e-5	1.0349661749625476	1.1137036317755586	0.993735338109654	1.059524951710065	1.0779077106729698	1.1706527320835405	0.8608859234917426	5.9440974212868e-4
P01	2.405965242098568e-4	Antiprotozoals	P	0.8521615049571324	0.7824165285795169	0.9281235812453869	0.00388037752095155	548	221462	decrease	0.01201879073200524	0.00847632847706849	0.8600322483119016	0.84645330997793	0.7645610821901397	0.7476549866045139	0.9674249518660152	0.9583072657971728	0.16463187955242614	0.1424036681268767
G03	3.539494601093348e-4	Sex Hormones And Modulators Of The Genital System	G	1.0972107093096557	1.0427597379253677	1.154505009005211	0.00548899134490094	2190	748809	increase	0.00184950481199733	0.00103713024877599	1.32536508307581	1.0933281852347874	1.1099975256053178	1.0365660056221042	1.5825193866793723	1.1531986522280206	0.03194322720098366	0.02200920419988554
A01	0.00116963536156991	Stomatological Preparations	A	1.2337715604491328	1.0867996728719418	1.4006189929654578	0.01746672028359839	243	70916	increase	0.03826160069567016	0.0131978125407111	1.211810525378422	1.2510711267048211	1.0104457551837271	1.0479708345207452	1.453303892746737	1.4935329424413355	0.39997302196555273	0.21285633812414728
J01	0.00147190808006756	Antibacterials For Systemic Use	J	0.9497503138436204	0.9200468683511492	0.9804127264327408	0.02119567724711408	8987	2339776	decrease	0.00391767925647973	0.1685771918266198	0.941706769263418	0.9649464356637898	0.9040515880862384	0.9171541929416636	0.9809303484039132	1.0152290976436469	0.06225009654273538	1
L01	0.00164986388369444	Antineoplastic Agents	L	0.6946461389034891	0.553619839862143	0.8715967592738026	0.02293901458677541	75	45618	decrease	0.02211508373068783	0.03045635701937299	0.7204475660789355	0.6535308786558838	0.544052976014588	0.4445884657139362	0.954033372395604	0.9606695681384236	0.2865672029653186	0.3837537356893848
J07	0.00376827180438301	Vaccines	J	0.8907437000814356	0.8236776010177163	0.9632705056619608	0.0490123094301407	661	223683	decrease	0.06691831067937462	0.02409519148778462	0.909128653491632	0.8687293709406537	0.8210433155504973	0.7687399616618871	1.0066641953541051	0.9817243249634492	0.6329171144009013	0.3350094237906248
R05	0.00364958811293072	Cough And Cold Preparations	R	0.9477123216541326	0.9140103467291296	0.9826569773845664	0.0490123094301407	3980	1088879	decrease	0.1911317643920852	8.176816730544487e-9	1.0324054346849614	0.8499128356400701	0.9842021888926576	0.8041969060594022	1.0829695296311646	0.8982275643477646	1	3.296923754234092e-7
